Highlight	Book Title
Heaven and earth aren’t humane. To them the ten thousand things	Lao Tzu
are their own ruin. To do good, work well, and lie low is the way of the blessing.	Lao Tzu
To do good, work well, and lie low is the way of the blessing.	Lao Tzu
Brim-fill the bowl, it’ll spill over. Keep sharpening the blade, you’ll soon blunt it. Nobody can protect a house full of gold and jade. Wealth, status, pride, are their own ruin. To do good, work well, and lie low is the way of the blessing.	Lao Tzu
because almost everything we touch comes from all over the globe, paradoxically this increases our yearning for authenticity and provenance.	Brand New: The Shape of Brands to Come
‘Authenticity is the new thing. Now we have to learn how to fake it.’	Brand New: The Shape of Brands to Come
I advocate a “don’t ask, can’t tell” policy—researchers	Redirect: The Surprising New Science of Psychological Change
genetic testing had begun, this group was as happy and well-adjusted as the others. But as time went by,	Redirect: The Surprising New Science of Psychological Change
“NP” is the collection of problems that have a solution that we want to find. “P” consists of the problems to which we can find a solution quickly.	The Golden Ticket
Or they might be usable, but force us to behave the way the product wishes rather than as we wish.	The Design of Everyday Things: Revised and Expanded Edition
